part,trial,cam,rot_deg,axis,induced_reproj,base_reproj,err_sh,err_el,err_wr,base_err_wr,base_err_el,base_err_sh
P14,trial_48_L_affected,2,8.0,2,46.6699859475846,11.65646862022333,40.153044455102275,88.29322246929542,44.93661381947346,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,3,0.5,0,11.241977478279138,11.65646862022333,40.5207510684574,84.33799781632774,42.85765930699303,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,3,0.5,1,12.278417431942351,11.65646862022333,40.05874793730489,83.63169337537512,41.87183870596756,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,3,0.5,2,11.832960989410363,11.65646862022333,40.26991968106999,83.8648431991872,42.23837475861866,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,3,1.0,0,11.026319136460987,11.65646862022333,40.90176432223988,84.98868189912848,43.74411569723853,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,3,1.0,1,12.973880387415228,11.65646862022333,39.80455575578557,83.51582203004136,41.49634886594916,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,3,1.0,2,12.026151038530934,11.65646862022333,40.05137153436302,83.52847830348688,41.732014695302965,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,3,2.0,0,16.27204538352634,11.65646862022333,40.76763441277895,84.2886388469698,43.00463845031066,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,3,2.0,1,12.333625365090912,11.65646862022333,39.99400053920768,83.37129588594146,41.507827188262276,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,3,2.0,2,15.0656020836077,11.65646862022333,41.311641573199964,85.2643771970559,44.311039902050865,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,3,4.0,0,20.540020155309183,11.65646862022333,39.0677702909956,83.62853442616274,40.62657387387142,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,3,4.0,1,12.563251851657942,11.65646862022333,41.10650070226734,86.56346034668634,45.22791536249765,42.37721276176425,84.01336813085025,40.27647521640376
