src,part,trial,drink_outside_hold,short_hold,short_drink,hold_touches_start,hold_touches_end,no_rest_pre,no_rest_post,cup_nan_frac,hand_nan_frac,no_track
omc,P07,trial_74_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc,P07,trial_74_R_affected,True,False,False,False,False,False,False,0.0,0.0015479876160990713,
mmc_c3kf,P07,trial_74_R_affected,True,False,False,False,False,False,False,0.0,0.0015479876160990713,
mmc_c3kf_wr,P07,trial_74_R_affected,True,False,False,False,False,False,False,0.0,0.0015479876160990713,
mmc_c3kf_wr2,P07,trial_74_R_affected,True,False,False,False,False,False,False,0.0,0.0015479876160990713,
omc,P07,trial_75_R_affected,False,False,False,False,False,False,False,0.0016025641025641025,0.0016025641025641025,
mmc,P07,trial_75_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_75_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_75_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_75_R_affected,False,False,False,False,False,False,False,0.0,0.0,
omc,P07,trial_76_R_affected,True,False,False,False,False,False,False,0.0,0.0,
mmc,P07,trial_76_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_76_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_76_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_76_R_affected,False,False,False,False,False,False,False,0.0,0.0,
omc,P07,trial_77_R_affected,True,False,True,False,False,False,False,0.0013966480446927375,0.0013966480446927375,
mmc,P07,trial_77_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_77_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_77_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_77_R_affected,False,False,False,False,False,False,False,0.0,0.0,
omc,P07,trial_78_R_affected,False,False,False,False,False,False,False,0.0011876484560570072,0.0011876484560570072,
mmc,P07,trial_78_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_78_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_78_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_78_R_affected,False,False,False,False,False,False,False,0.0,0.0,
omc,P07,trial_79_R_affected,True,False,True,False,False,False,False,0.0,0.0,
mmc,P07,trial_79_R_affected,True,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_79_R_affected,True,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_79_R_affected,True,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_79_R_affected,True,False,False,False,False,False,False,0.0,0.0,
omc,P07,trial_7_L_unaffected,False,False,False,False,False,False,False,0.004210526315789474,0.004210526315789474,
mmc,P07,trial_7_L_unaffected,False,False,False,False,False,False,False,0.0,0.0,
