part,trial,side,mmc_abd,omc_world,omc_body
P12,2,L,30.723653812532678,38.54248276667731,31.41921610712896
P12,30,L,31.0263028298489,45.66706937928066,32.353059580281034
P12,31,L,29.91739489156227,50.802539993234234,34.79304903114228
P12,32,L,30.842784847252446,50.919146459424596,34.67338467074851
P12,33,L,30.012026205676705,46.92781474527452,32.79389298137716
P12,34,L,27.994660085850583,36.53313664740753,31.190020195774448
P12,35,L,30.94104716248146,37.65500278028619,33.02055758717418
P12,36,L,29.090732113037372,43.072271217800555,33.09195935826381
P12,37,L,28.393624401183512,39.01889209258286,31.667869187054308
P12,38,L,27.324747008086362,36.65415260117981,30.649910997007385
P12,39,L,29.776880279749015,39.13216805625601,31.563212590571393
P12,40,L,27.40595944667166,38.8741313400212,31.42558416000769
P12,41,R,36.0868031352501,47.22459981671023,25.395521363310042
P12,42,R,36.9946872254908,51.47110088434104,27.71590568247014
P12,43,R,38.00092574479382,52.3707712442991,27.82556714505953
P12,44,R,34.605963506837824,48.52839113846599,27.658533754717517
P12,45,R,34.39744984787046,47.704092467605854,27.81794588713942
P12,46,R,30.225821472002693,42.179352079377615,26.95133305438391
P12,47,R,29.611741888821275,39.861643304607824,27.577569453324287
P12,48,R,31.284859703734465,42.963283372920266,27.054408885290766
P12,49,R,30.880964632437884,39.76134279937573,27.45466239790676
P12,4,L,30.518410840110747,39.842270035559,31.77994232304675
P12,50,R,31.700700681605458,42.82032344360337,27.853561558631228
P12,51,R,34.79910729715187,46.724198540687766,30.777797433442007
P12,52,R,35.25449919888947,49.338018370525745,28.224280979592805
P12,53,R,31.245561393857674,42.1034617099635,27.634722267250034
P12,54,R,31.953220877680884,44.082518064738586,27.701482521855617
P12,56,R,33.87380241520426,49.123568592635706,26.811968097834985
P12,57,R,32.82690165852051,47.875668101222224,26.813710161694203
P12,58,R,33.26729316065886,50.018848425682826,27.583239902449915
P12,59,R,33.34362508685346,49.6482485764804,28.723880420724555
P12,5,L,34.51052066327985,43.66413713638626,34.13492292570053
P12,61,R,29.775125964768886,44.277813116451945,27.325745190095272
P12,62,R,30.07273369268227,47.563766703297006,25.81740403289474
P12,63,R,29.397660428125835,45.381698393323845,26.666608891222047
P12,64,R,30.159454214927933,47.129205104951744,26.24917321567588
P12,65,R,28.02627835717691,38.84189310181536,24.109745447439398
P12,66,R,26.872237253203945,38.49204379834644,26.10563572837047
P12,67,R,30.477637227892494,42.04202845987381,25.971792520951322
P12,68,R,28.135753062222978,42.264025088384095,25.87168986006806
P12,69,R,30.07501994621165,43.293924714101685,26.671127638940774
P12,6,L,31.54262543855645,36.900087000185145,32.26547306391279
P12,70,R,27.701714153909204,39.80664396690693,25.721094827097915
